day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 3.94 (travel) + 1.00 (lunch) = 4.94 h
day 2: 3.54 (travel) + 1.00 (lunch) = 4.54 h
day 3: 4.22 (travel) + 1.00 (lunch) = 5.22 h
day 4: 3.31 (travel) + 1.00 (lunch) = 4.31 h
day 5: 4.28 (travel) + 1.00 (lunch) = 5.28 h
day 6: 4.16 (travel) + 1.00 (lunch) = 5.16 h
day 7: 4.78 (travel) + 1.00 (lunch) = 5.78 h
day 8: 4.81 (travel) + 1.00 (lunch) = 5.81 h
day 9: 4.58 (travel) + 1.00 (lunch) = 5.58 h
day 10: 3.99 (travel) + 1.00 (lunch) = 4.99 h
day 11: 3.52 (travel) + 1.00 (lunch) = 4.52 h
day 12: 3.82 (travel) + 1.00 (lunch) = 4.82 h
day 13: 4.07 (travel) + 1.00 (lunch) = 5.07 h
day 14: 4.92 (travel) + 1.00 (lunch) = 5.92 h
day 15: 4.96 (travel) + 1.00 (lunch) = 5.96 h
day 16: 4.03 (travel) + 1.00 (lunch) = 5.03 h
day 17: 4.94 (travel) + 1.00 (lunch) = 5.94 h
day 18: 3.92 (travel) + 1.00 (lunch) = 4.92 h
day 19: 3.34 (travel) + 1.00 (lunch) = 4.34 h
day 20: 4.23 (travel) + 1.00 (lunch) = 5.23 h
day 21: 3.34 (travel) + 1.00 (lunch) = 4.34 h
day 22: 4.03 (travel) + 1.00 (lunch) = 5.03 h
day 23: 4.93 (travel) + 1.00 (lunch) = 5.93 h
day 24: 4.97 (travel) + 1.00 (lunch) = 5.97 h
day 25: 3.48 (travel) + 1.00 (lunch) = 4.48 h
day 26: 3.94 (travel) + 1.00 (lunch) = 4.94 h
day 27: 3.79 (travel) + 1.00 (lunch) = 4.79 h
day 28: 3.47 (travel) + 1.00 (lunch) = 4.47 h
day 29: 3.87 (travel) + 1.00 (lunch) = 4.87 h
day 30: 3.28 (travel) + 1.00 (lunch) = 4.28 h
------------------------------------------
total absence: 152.46 hours
day | travel (h) | lunch (h) | total (h)
------------------------------------------
day 1: 4.90 (travel) + 1.00 (lunch) = 5.90 h
day 2: 4.21 (travel) + 1.00 (lunch) = 5.21 h
day 3: 3.39 (travel) + 1.00 (lunch) = 4.39 h
day 4: 3.75 (travel) + 1.00 (lunch) = 4.75 h
day 5: 4.37 (travel) + 1.00 (lunch) = 5.37 h
day 6: 3.55 (travel) + 1.00 (lunch) = 4.55 h
day 7: 4.63 (travel) + 1.00 (lunch) = 5.63 h
day 8: 4.66 (travel) + 1.00 (lunch) = 5.66 h
day 9: 3.22 (travel) + 1.00 (lunch) = 4.22 h
day 10: 4.01 (travel) + 1.00 (lunch) = 5.01 h
day 11: 3.80 (travel) + 1.00 (lunch) = 4.80 h
day 12: 3.23 (travel) + 1.00 (lunch) = 4.23 h
day 13: 3.54 (travel) + 1.00 (lunch) = 4.54 h
day 14: 4.11 (travel) + 1.00 (lunch) = 5.11 h
day 15: 3.58 (travel) + 1.00 (lunch) = 4.58 h
day 16: 3.56 (travel) + 1.00 (lunch) = 4.56 h
day 17: 3.30 (travel) + 1.00 (lunch) = 4.30 h
day 18: 3.74 (travel) + 1.00 (lunch) = 4.74 h
day 19: 4.37 (travel) + 1.00 (lunch) = 5.37 h
day 20: 4.27 (travel) + 1.00 (lunch) = 5.27 h
day 21: 4.25 (travel) + 1.00 (lunch) = 5.25 h
day 22: 4.26 (travel) + 1.00 (lunch) = 5.26 h
day 23: 3.29 (travel) + 1.00 (lunch) = 4.29 h
day 24: 3.56 (travel) + 1.00 (lunch) = 4.56 h
day 25: 3.26 (travel) + 1.00 (lunch) = 4.26 h
